 stage   name      force      lambda0     lambda1  dA/dlambda 
  10      15      0.4945      0.4500      0.5000     -0.4001 
  10      16      2.2600      0.4500      0.5000     -1.0169 
  10      17      4.1300      0.4500      0.5000     -1.9124 
  10      18      2.4530      0.4500      0.5000     -0.8426 
  10      19      2.1250      0.4500      0.5000     -1.2828 
  10      20      0.5985      0.4500      0.5000     -0.5403 
  10      21      0.5690      0.4500      0.5000     -0.6050 
  10      22      0.2710      0.4500      0.5000     -0.7324 
  11       1      0.9279      0.5000      0.5500     -1.5615 
  11       2      1.1921      0.5000      0.5500     -1.1289 
  11       3      0.9891      0.5000      0.5500     -1.6593 
  11       4      0.4842      0.5000      0.5500     -1.1284 
  11       5      0.6039      0.5000      0.5500     -0.5249 
  11       6      0.6543      0.5000      0.5500     -1.5012 
  11       7      1.5251      0.5000      0.5500     -1.2575 
  11       8      0.5351      0.5000      0.5500     -0.5339 
  11       9      0.9000      0.5000      0.5500     -1.1937 
  11      10      0.3587      0.5000      0.5500     -0.4971 
  11      11      0.4212      0.5000      0.5500     -1.2868 
  11      12      0.2434      0.5000      0.5500     -0.6253 
  11      13      0.4788      0.5000      0.5500     -0.8014 
  11      15      0.4451      0.5000      0.5500     -0.4001 
  11      16      2.0340      0.5000      0.5500     -1.0035 
  11      17      3.7170      0.5000      0.5500     -1.9537 
  11      18      2.2077      0.5000      0.5500     -0.8955 
  11      19      1.9125      0.5000      0.5500     -1.3488 
  11      20      0.5386      0.5000      0.5500     -0.6452 
  11      21      0.5121      0.5000      0.5500     -0.7521 
  11      22      0.2439      0.5000      0.5500     -0.7346 
  12       1      0.8248      0.5500      0.6000     -1.6602 
  12       2      1.0596      0.5500      0.6000     -1.1239 
  12       3      0.8792      0.5500      0.6000     -1.7376 
  12       4      0.4304      0.5500      0.6000     -1.3110 
  12       5      0.5368      0.5500      0.6000     -0.6573 
  12       6      0.5816      0.5500      0.6000     -1.8712 
  12       7      1.3556      0.5500      0.6000     -1.1652 
  12       8      0.4756      0.5500      0.6000     -0.6570 
  12       9      0.8000      0.5500      0.6000     -1.2197 
  12      10      0.3188      0.5500      0.6000     -0.6849 
  12      11      0.3744      0.5500      0.6000     -1.3044 
  12      12      0.2164      0.5500      0.6000     -0.7279 
  12      13      0.4256      0.5500      0.6000     -0.8785 
  12      15      0.3956      0.5500      0.6000     -0.5834 
  12      16      1.8080      0.5500      0.6000     -0.9923 
  12      17      3.3040      0.5500      0.6000     -2.1036 
  12      18      1.9624      0.5500      0.6000     -0.9777 
  12      19      1.7000      0.5500      0.6000     -1.4553 
  12      20      0.4788      0.5500      0.6000     -0.6234 
  12      21      0.4552      0.5500      0.6000     -0.8355 
  12      22      0.2168      0.5500      0.6000     -0.7445 
  13       1      0.7217      0.6000      0.6500     -1.7796 
  13       2      0.9272      0.6000      0.6500     -1.2861 
  13       3      0.7693      0.6000      0.6500     -1.7890 
  13       4      0.3766      0.6000      0.6500     -1.3674 
  13       5      0.4697      0.6000      0.6500     -0.6626 
  13       6      0.5089      0.6000      0.6500     -1.7718 
  13       7      1.1862      0.6000      0.6500     -1.3494 
  13       8      0.4162      0.6000      0.6500     -0.7259 
  13       9      0.7000      0.6000      0.6500     -1.5183 
  13      10      0.2789      0.6000      0.6500     -0.5687 
  13      11      0.3276      0.6000      0.6500     -1.3304 
  13      12      0.1893      0.6000      0.6500     -0.8128 
  13      13      0.3724      0.6000      0.6500     -0.8684 
  13      15      0.3462      0.6000      0.6500     -0.5571 
